question,answer,created_at,updated_at
Di chúc cần đáp ứng những quy định nào để hợp lệ?,"Theo Bộ luật Dân sự năm 2015, một di chúc hợp lệ cần đáp ứng các điều kiện sau: - Người lập di chúc phải có đầy đủ năng lực hành vi dân sự và minh mẫn khi lập di chúc. - Hình thức di chúc có thể bằng văn bản hoặc bằng miệng (trong trường hợp đặc biệt). Di chúc bằng văn bản có thể có hoặc không có người làm chứng, có công chứng hoặc chứng thực. - Nội dung di chúc phải thể hiện rõ ràng ý chí của người lập di chúc, bao gồm thông tin về người thừa kế, tài sản để lại và các điều kiện kèm theo. - Di chúc miệng chỉ hợp lệ nếu được lập trong tình huống người lập di chúc bị đe dọa đến tính mạng và có ít nhất hai người làm chứng. Trong vòng 05 ngày, di chúc này phải được ghi lại bằng văn bản và chứng thực. - Không vi phạm điều cấm của pháp luật: Di chúc không được chứa nội dung trái pháp luật hoặc đạo đức xã hội.",2025-04-29T12:46:20.419845,2025-05-04T21:13:51.921968
Nếu có người bị mất tích trong hàng thừa kế thì phải làm sao?,"[Thông tin từ mẫu Q&A]
Trong trường hợp tranh chấp, các bên nên thương lượng, hòa giải và nếu không giải quyết được, đưa ra tòa án căn cứ theo quy định của Bộ luật Dân sự và Luật Tổ chức Tòa án.",2025-04-29T12:47:04.221407,2025-04-29T12:47:04.221407
Ai được quyền thừa kế đất đai theo pháp luật Việt Nam?,"[Thông tin từ văn bản pháp luật]
- Đất không bị Nhà nước quản lý trong quá trình thực hiện chính sách đất đai của Nhà nước Việt Nam dân chủ cộng hoà, Chính phủ cách mạng lâm thời Cộng hoà miền Nam Việt Nam và Nhà nước Cộng hoà xã hội chủ nghĩa Việt Nam;",2025-04-29T12:47:47.540246,2025-04-29T12:47:47.540246
đối tượng được thừa hưởng quyền thừa kế ?,"📜 [Thông tin từ văn bản pháp luật]
Người thừa kế được xác lập quyền sở hữu đối với tài sản thừa kế theo quy định tại Phần thứ tư của Bộ luật này.",2025-04-29T14:54:37.773296,2025-04-29T14:54:37.773296
tôi muốn thông tin về quyền sử dụng đất,"📜 [Thông tin từ văn bản pháp luật]
4. Việc xử lý quyền sử dụng đất được thực hiện theo quy định của pháp luật về đất đai.",2025-04-29T14:56:19.093904,2025-04-29T14:56:19.093904
những đối tượng được hưởng thừa kế theo pháp luật,"📜 [Thông tin từ văn bản pháp luật]
Người thừa kế được xác lập quyền sở hữu đối với tài sản thừa kế theo quy định tại Phần thứ tư của Bộ luật này.

📜 [Thông tin từ văn bản pháp luật]
Người thừa kế được xác lập quyền sở hữu đối với tài sản thừa kế theo quy định tại Phần thứ tư của Bộ luật này.

📜 [Thông tin từ văn bản pháp luật]
2. Quyền sở hữu, quyền thừa kế và quyền khác đối với tài sản.",2025-04-29T15:02:26.896063,2025-04-29T15:02:26.896063
Di chúc cần đáp ứng những tiêu chuẩn nào để hợp pháp,"📜 [Thông tin từ văn bản pháp luật]
Quyền hưởng dụng được xác lập theo quy định của luật, theo thỏa thuận hoặc theo di chúc.

📜 [Thông tin từ văn bản pháp luật]
Quyền hưởng dụng được xác lập theo quy định của luật, theo thỏa thuận hoặc theo di chúc.

📜 [Thông tin từ văn bản pháp luật]
1. Pháp nhân phải có điều lệ trong trường hợp pháp luật có quy định.",2025-04-29T15:06:37.065143,2025-04-29T15:06:37.065143
"Quyền có họ, tên","📜 [Thông tin từ văn bản pháp luật]
4. Cá nhân xác lập, thực hiện quyền, nghĩa vụ dân sự theo họ, tên của mình.

4. Cá nhân xác lập, thực hiện quyền, nghĩa vụ dân sự theo họ, tên của mình.

1. Cá nhân có quyền có họ, tên (bao gồm cả chữ đệm, nếu có). Họ, tên của một người được xác định theo họ, tên khai sinh của người đó.",2025-04-29T15:11:03.981257,2025-04-29T15:11:03.981257
Điều 25.Quyền nhân thân,"📜 [Thông tin từ văn bản pháp luật]
Điều 39.Quyền nhân thân trong hôn nhân và gia đình

Điều 39.Quyền nhân thân trong hôn nhân và gia đình

Điều 296. Sự có mặt của Điều tra viên vànhững người khác",2025-04-29T15:11:43.506837,2025-04-29T15:11:43.506837
Tại sao đất đai ở Việt Nam thuộc sở hữu toàn dân do Nhà nước quản lý?,"📜 [Thông tin từ văn bản pháp luật]
1. Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam là đại diện, thực hiện quyền của chủ sở hữu đối với tài sản thuộc sở hữu toàn dân.

1. Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam là đại diện, thực hiện quyền của chủ sở hữu đối với tài sản thuộc sở hữu toàn dân.

1. Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, cơ quan nhà nước ở Trung ương, ở địa phương chịu trách nhiệm về nghĩa vụ dân sự của mình bằng tài sản mà mình là đại diện chủ sở hữu và thống nhất quản lý, trừ trường hợp tài sản đã được chuyển giao cho pháp nhân theo quy định tại khoản 2 Điều này.",2025-05-04T20:56:52.200619,2025-05-04T20:56:52.200619
"hi Nhà nước thu hồi đất, người dân có quyền lợi gì? Chính sách bồi thường được áp dụng như thế nào?","📜 [Thông tin từ văn bản pháp luật]
Nhà nước có trách nhiệm bồi thường thiệt hại và phục hồi danh dự, quyền lợi cho người bịgiữ trong trường hợp khẩn cấp, người bị bắt, bịtạm giữ, tạm giam, khởi tố, điều tra, truy tố, xét xử, thi hành án oan, trái pháp luật do cơ quan, người có thẩm quyền tiến hành tố tụng gây ra.

Nhà nước có trách nhiệm bồi thường thiệt hại và phục hồi danh dự, quyền lợi cho người bịgiữ trong trường hợp khẩn cấp, người bị bắt, bịtạm giữ, tạm giam, khởi tố, điều tra, truy tố, xét xử, thi hành án oan, trái pháp luật do cơ quan, người có thẩm quyền tiến hành tố tụng gây ra.

d) Được bồi thường thiệt hại, khôi phục danh dự, bảo đảm các quyền và lợi ích hợp pháp trong thời gian bảo vệ.",2025-05-04T20:57:20.990815,2025-05-04T20:57:20.990815
Nhà nước quy định giá đất như thế nào? Có những bất cập gì trong việc định giá đất?,"📜 [Thông tin từ văn bản pháp luật]
Điều 325.Thế chấp quyền sử dụng đất mà không thế chấp tài sản gắn liền với đất

Điều 325.Thế chấp quyền sử dụng đất mà không thế chấp tài sản gắn liền với đất

Điều 326.Thế chấp tài sản gắn liền với đất mà không thế chấp quyền sử dụng đất",2025-05-04T21:00:26.590932,2025-05-04T21:00:26.590932
